,map_row,map_col,Day,actual_label,predicted_label,left,right,up,down
523,6,8,185,1,1,-1,-1,-1,-1
524,9,7,186,1,1,-1,-1,-1,-1
525,8,9,186,1,1,-1,-1,-1,-1
526,6,9,188,1,1,-1,-1,-1,-1
527,6,9,195,1,1,-1,-1,-1,-1
528,7,9,196,1,1,-1,-1,-1,-1
529,7,9,197,1,1,-1,-1,-1,-1
530,8,7,198,1,1,-1,-1,-1,-1
531,5,8,198,1,1,-1,-1,-1,-1
532,5,8,199,1,1,-1,-1,-1,-1
533,4,9,1,1,1,-1,-1,-1,-1
534,9,8,202,1,1,-1,-1,-1,-1
535,8,4,204,1,2,-1,3,3,-1
536,4,9,205,1,1,-1,-1,-1,-1
537,4,9,206,1,1,-1,-1,-1,-1
538,7,1,206,1,2,3,-1,-1,-1
539,4,9,207,1,1,-1,-1,-1,-1
540,7,9,210,1,1,-1,-1,-1,-1
541,6,7,211,1,1,-1,-1,-1,-1
542,7,8,212,1,1,-1,-1,-1,-1
543,9,6,214,1,1,3,-1,-1,-1
544,8,7,215,1,1,-1,-1,-1,-1
545,3,9,218,1,1,0,-1,0,-1
546,4,9,21,1,1,-1,-1,-1,-1
547,8,9,221,1,1,-1,-1,-1,-1
548,8,6,227,1,1,3,-1,-1,-1
549,9,9,229,1,1,-1,-1,-1,-1
550,7,9,230,1,1,-1,-1,-1,-1
551,9,9,233,1,1,-1,-1,-1,-1
552,6,6,235,1,1,3,-1,3,-1
553,7,7,238,1,1,-1,-1,-1,-1
554,7,7,238,1,1,-1,-1,-1,-1
555,9,9,239,1,1,-1,-1,-1,-1
556,7,7,239,1,1,-1,-1,-1,-1
557,9,9,240,1,1,-1,-1,-1,-1
558,9,9,241,1,1,-1,-1,-1,-1
559,7,7,241,1,1,-1,-1,-1,-1
560,9,8,243,1,1,-1,-1,-1,-1
561,8,9,243,1,1,-1,-1,-1,-1
562,7,6,244,1,1,3,-1,-1,-1
563,7,9,245,1,1,-1,-1,-1,-1
564,9,8,246,1,1,-1,-1,-1,-1
565,8,8,247,1,1,-1,-1,-1,-1
566,7,7,249,1,1,-1,-1,-1,-1
567,8,8,250,1,1,-1,-1,-1,-1
568,8,8,251,1,1,-1,-1,-1,-1
569,8,6,254,1,1,3,-1,-1,-1
570,7,7,255,1,1,-1,-1,-1,-1
571,6,7,256,1,1,-1,-1,-1,-1
572,8,7,259,1,1,-1,-1,-1,-1
573,9,7,260,1,1,-1,-1,-1,-1
574,7,9,261,1,1,-1,-1,-1,-1
575,6,6,265,1,1,3,-1,3,-1
576,6,7,270,1,1,-1,-1,-1,-1
577,7,8,277,1,1,-1,-1,-1,-1
578,5,7,278,1,1,3,-1,2,-1
579,9,9,297,1,1,-1,-1,-1,-1
580,5,7,298,1,1,3,-1,2,-1
581,4,8,2,1,1,2,-1,0,-1
582,5,9,313,1,1,-1,-1,-1,-1
583,6,9,320,1,1,-1,-1,-1,-1
584,6,9,321,1,1,-1,-1,-1,-1
585,4,8,35,1,1,2,-1,0,-1
586,5,7,385,1,1,3,-1,2,-1
587,3,9,394,1,1,0,-1,0,-1
588,3,8,434,1,0,2,1,-1,1
589,3,9,445,1,1,0,-1,0,-1
590,3,9,449,1,1,0,-1,0,-1
591,4,8,463,1,1,2,-1,0,-1
592,6,9,472,1,1,-1,-1,-1,-1
593,5,9,473,1,1,-1,-1,-1,-1
